School Name,City,State,District Name,2010/11/Award Amount,Model Selected,Location
TEMPLE HIGH SCHOOL,TEMPLE,GA,CARROLL COUNTY,"$105,401.00 ",Transformation,"589 SAGE ST
TEMPLE, GA 30179
(33.7434, -85.0358)"
RUTLAND HIGH SCHOOL,MACON,GA,BIBB COUNTY,"$125,013.00 ",Transformation,"6250 SKIPPER RD
MACON, GA 31216
(32.7386, -83.7156)"
STEWART-QUITMAN HIGH SCHOOL,LUMPKIN,GA,STEWART COUNTY,"$688,641.00 ",Transformation,"OLD EUFAULA HWY
LUMPKIN, GA 31815
(32.0174, -84.8533)"
NORTHEAST HIGH SCHOOL,MACON,GA,BIBB COUNTY,"$112,362.00 ",Transformation,"1646 UPPER RIVER RD
MACON, GA 31211
(32.8668, -83.6201)"
HAWKINSVILLE HIGH SCHOOL,HAWKINSVILLE,GA,PULASKI COUNTY,"$902,342.00 ",Transformation,"1 RED DEVIL DR
HAWKINSVILLE, GA 31036
(32.288, -83.4918)"
ATLANTA AREA SCHOOL FOR THE DEAF,CLARKSTON,GA,STATE SCHOOLS,"$663,957.00 ",Transformation,"890 NORTH INDIAN CREEK DR
CLARKSTON, GA 30021
(33.8029, -84.2398)"
HENRY COUNTY HIGH SCHOOL,MCDONOUGH,GA,HENRY COUNTY,"$140,653.00 ",Transformation,"401 TOMLINSON ST
MCDONOUGH, GA 30253
(33.4502, -84.1275)"
CLARKSTON HIGH SCHOOL,CLARKSTON,GA,DEKALB COUNTY,"$876,027.00 ",Transformation,"618 NORTH INDIAN CREEK DR
CLARKSTON, GA 30021
(33.7934, -84.2384)"
WEEKS MIDDLE SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,$18.00 ,Transformation,"901 EAST PARK AVE
DES MOINES, IA 50315
(41.554, -93.6005)"
NORTH HIGH SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,$2.00 ,Transformation,"501 HOLCOMB AVE
DES MOINES, IA 50313
(41.6179, -93.6219)"
LINCOLN ELEMENTARY SCHOOL,WATERLOO,IA,WATERLOO COMM SCHOOL DISTRICT,,Transformation,"302 CEDAR BEND
WATERLOO, IA 50703
(42.5186, -92.3647)"
HOYT MIDDLE SCHOOL,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,$18.00 ,Transformation,"2700 EAST 42ND ST
DES MOINES, IA 50317
(41.6206, -93.5335)"
JACK M LOGAN MIDDLE SCHOOL,WATERLOO,IA,WATERLOO COMM SCHOOL DISTRICT,"$761,197.00 ",Transformation,"1515 LOGAN AVE
WATERLOO, IA 50703
(42.5215, -92.3378)"
EDMUNDS FINE ARTS ACADEMY,DES MOINES,IA,DES MOINES INDEPENDENT COMM SCHOOL DISTRICT,,Transformation,"1601 CROCKER ST
DES MOINES, IA 50314
(41.5943, -93.639)"
MURTAUGH MIDDLE SCHOOL,MURTAUGH,ID,MURTAUGH JOINT DISTRICT,"$209,893.00 ",Transformation,"500 WEST BOYD
MURTAUGH, ID 83344
(42.4923, -114.159)"
FORT HALL ELEMENTARY SCHOOL,POCATELLO,ID,BLACKFOOT DISTRICT,,Transformation,"B ST
POCATELLO, ID 83202
(42.906, -112.582)"
MELBA MIDDLE SCHOOL,MELBA,ID,MELBA JOINT DISTRICT,,Transformation,"560 BRDWAY
MELBA, ID 83641
(43.3785, -116.531)"
LAKESIDE ELEMENTARY SCHOOL,WORLEY,ID,PLUMMER-WORLEY JOINT DISTRICT,,Transformation,"S 29900 FIRST AVE
WORLEY, ID 83876
(47.4, -116.916)"
SNAKE RIVER JR HIGH SCHOOL,BLACKFOOT,ID,SNAKE RIVER DISTRICT,,Transformation,"918 WEST HWY 39
BLACKFOOT, ID 83221
(43.197, -112.478)"
JEFFERSON MIDDLE SCHOOL,CALDWELL,ID,CALDWELL DISTRICT,"$286,787.00 ",Transformation,"3311 SOUTH 10TH AVE
CALDWELL, ID 83605
(43.6407, -116.693)"
THORNWOOD HIGH SCHOOL,SOUTH HOLLAND,IL,THORNTON TWP HSD 205,"$170,473.00 ",Transformation,"17101 SOUTH PARK AVE
SOUTH HOLLAND, IL 60473
(41.5845, -87.6073)"
MANUAL HIGH SCHOOL,PEORIA,IL,PEORIA SD 150,"$122,159.00 ",Turnaround,"811 SOUTH GRISWOLD ST
PEORIA, IL 61605
(40.6804, -89.6327)"
MARSHALL METROPOLITAN HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,"$195,114.00 ",Turnaround,"3250 WEST ADAMS ST
CHICAGO, IL 60624
(41.8784, -87.7073)"
EGYPTIAN SR HIGH SCHOOL,TAMMS,IL,EGYPTIAN CUSD 5,"$11,848.00 ",Transformation,"20023 DISWOOD RD
TAMMS, IL 62988
(37.2278, -89.3244)"
HARPER HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,"$198,187.00 ",Turnaround,"6520 SOUTH WOOD ST
CHICAGO, IL 60636
(41.7753, -87.6689)"
THORNTON TOWNSHIP HIGH SCHOOL,HARVEY,IL,THORNTON TWP HSD 205,"$170,473.00 ",Transformation,"15001 BRDWAY
HARVEY, IL 60426
(41.6171, -87.6445)"
DEPUE HIGH SCHOOL,DEPUE,IL,DEPUE USD 103,"$793,604.00 ",Transformation,"PO BOX 800
DEPUE, IL 61322
(41.3241, -89.3066)"
FENGER ACADEMY HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,"$185,042.00 ",Turnaround,"11220 SOUTH WALLACE ST
CHICAGO, IL 60628
(41.6902, -87.6375)"
THORNRIDGE HIGH SCHOOL,DOLTON,IL,THORNTON TWP HSD 205,"$170,473.00 ",Transformation,"15000 COTTAGE GROVE
DOLTON, IL 60419
(41.6191, -87.6003)"
PHILLIPS ACADEMY HIGH SCHOOL,CHICAGO,IL,CITY OF CHICAGO SD 299,"$179,737.00 ",Restart,"244 EAST PERSHING RD
CHICAGO, IL 60653
(41.8238, -87.6201)"
BENDIX SCHOOL,SOUTH BEND,IN,SOUTH BEND COMMUNITY SCH CORP,"$113,677.00 ",Transformation,"3206 SUGAR MAPLACEE CT
SOUTH BEND, IN 46628
(41.7184, -86.2928)"
GLENWOOD MIDDLE SCHOOL,EVANSVILLE,IN,EVANSVILLE-VANDERBURGH SCH CORP,"$199,941.00 ",Transformation,"901 SWEETSER AVE
EVANSVILLE, IN 47713
(37.9498, -87.5519)"
GEORGE WASHINGTON COMMUNITY,INDIANAPOLIS,IN,INDIANAPOLIS PUBLIC SCHOOLS,"$198,496.00 ",Turnaround,"2215 WEST WASHINGTON ST
INDIANAPOLIS, IN 46222
(39.7651, -86.1998)"
INDIANAPOLIS METROPOLITAN HIGH SCH,INDIANAPOLIS,IN,INDIANAPOLIS METROPOLITAN HIGH SCH,"$735,737.00 ",Transformation,"1635 WEST MICHIGAN ST
INDIANAPOLIS, IN 46222
(39.7738, -86.1907)"
JOHN MARSHALL COMMUNITY HIGH SCH,INDIANAPOLIS,IN,INDIANAPOLIS PUBLIC SCHOOLS,"$191,676.00 ",Turnaround,"10101 EAST 38TH ST
INDIANAPOLIS, IN 46236
(39.8263, -85.9886)"
THE CHALLENGE FOUNDATION ACADEMY,INDIANAPOLIS,IN,CHALLENGE FOUNDATION ACADEMY,"$552,282.00 ",Transformation,"3980 MEADOWS DR
INDIANAPOLIS, IN 46205
(39.8283, -86.1125)"
HAMMOND HIGH SCHOOL,HAMMOND,IN,SCHOOL CITY OF HAMMOND,"$199,958.00 ",Turnaround,"5926 CALUMET AVE
HAMMOND, IN 46320
(41.6056, -87.5098)"
EMERSON ELEM,KANSAS CITY,KS,KANSAS CITY,"$108,003.00 ",Turnaround,"1429 SOUTH 29TH
KANSAS CITY, KS 66106
(39.0746, -94.6625)"
HIGHLAND PARK HIGH,TOPEKA,KS,TOPEKA PUBLIC SCHOOLS,"$197,018.00 ",Transformation,"2424 SE CALIFORNIA AVE
TOPEKA, KS 66605
(39.0238, -95.6513)"
SOUTH EAST HIGH,CHEROKEE,KS,CHEROKEE,"$764,280.00 ",Transformation,"126 WEST 400 HWY
CHEROKEE, KS 66724
(37.3393, -94.8272)"
LIBERAL  SOUTH MIDDLE,LIBERAL,KS,LIBERAL,"$180,378.00 ",Transformation,"950 SOUTH GRANT AVE
LIBERAL, KS 67901
(37.0245, -100.926)"
NORTHWEST MIDDLE,KANSAS CITY,KS,KANSAS CITY,"$18,984.00 ",Transformation,"2400 NORTH 18TH ST
KANSAS CITY, KS 66104
(39.1327, -94.6503)"
CURTIS MIDDLE SCHOOL,WICHITA,KS,WICHITA,"$1,997.00 ",Transformation,"1031 SOUTH EDGEMOOR
WICHITA, KS 67218
(37.668, -97.2713)"
WESTERN MIDDLE SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,"$429,176.00 ",Turnaround,"2201 WEST MAIN ST
LOUISVILLE, KY 40212
(38.2599, -85.7864)"
VALLEY TRADITIONAL HIGH SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,"$588,932.00 ",Turnaround,"10200 DIXIE HWY
LOUISVILLE, KY 40272
(38.1076, -85.8668)"
METCALFE COUNTY HIGH SCHOOL,EDMONTON,KY,METCALFE COUNTY,"$433,993.00 ",Transformation,"208 RANDOLPH ST
EDMONTON, KY 42129
(36.9822, -85.628)"
SHAWNEE HIGH SCHOOL MAGNET CAREER ACADEM,LOUISVILLE,KY,JEFFERSON COUNTY,"$437,283.00 ",Turnaround,"4018 WEST MARKET ST
LOUISVILLE, KY 40212
(38.2623, -85.8151)"
FERN CREEK TRADITIONAL HIGH SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,"$559,459.00 ",Turnaround,"9115 FERN CREEK RD
LOUISVILLE, KY 40291
(38.1536, -85.5926)"
LESLIE COUNTY HIGH SCHOOL,HYDEN,KY,LESLIE COUNTY,"$498,795.00 ",Transformation,"25 EAGLE LN
HYDEN, KY 41749
(37.1461, -83.3816)"
ROBERT FROST MIDDLE SCHOOL,VALLEY STATION,KY,JEFFERSON COUNTY,"$437,283.00 ",Turnaround,"13700 SANDRAY BLVD
VALLEY STATION, KY 40272
(38.0598, -85.8978)"
CAVERNA HIGH SCHOOL,HORSE CAVE,KY,CAVERNA INDEPENDENT,"$395,523.00 ",Transformation,"2276 SOUTH DIXIE ST
HORSE CAVE, KY 42749
(37.1633, -85.9202)"
LAWRENCE COUNTY HIGH SCHOOL,LOUISA,KY,LAWRENCE COUNTY,"$808,211.00 ",Transformation,"100 BULLDOG LN
LOUISA, KY 41230
(38.0951, -82.6058)"
WESTERN MST MAGNET HIGH SCHOOL,LOUISVILLE,KY,JEFFERSON COUNTY,"$437,283.00 ",Turnaround,"2501 ROCKFORD LN
LOUISVILLE, KY 40216
(38.1765, -85.8433)"
SARAH TOWLES REED SENIOR HIGH SCHOOL,NEW ORLEANS,LA,RECOVERY SCHOOL DISTRICT-LDE,,Transformation,"5316 MICHOUD BLVD
NEW ORLEANS, LA 70129
(30.0405, -89.9304)"
ASSUMPTION HIGH SCHOOL,NAPOLEONVILLE,LA,ASSUMPTION PARISH,,Transformation,"4880 HWY 308
NAPOLEONVILLE, LA 70390
(29.9416, -91.0224)"
CHELSEA HIGH,CHELSEA,MA,CHELSEA,"$748,937.00 ",Transformation,"299 EVERETT AVE
CHELSEA, MA 2150
(42.4004, -71.0401)"
THE ENGLISH HIGH,BOSTON,MA,BOSTON,"$927,362.00 ",Transformation,"144 MCBRIDE ST
BOSTON, MA 2130
(42.3064, -71.1094)"
ELIHU GREENWOOD,HYDE PARK,MA,BOSTON,"$427,239.00 ",Transformation,"612 METROPOLITAN AVE
HYDE PARK, MA 2136
(42.2652, -71.1178)"
ORCHARD GARDENS,ROXBURY,MA,BOSTON,"$110,786.00 ",Turnaround,"906 ALBANY ST
ROXBURY, MA 2119
(42.3303, -71.0775)"
PAUL A DEVER,DORCHESTER,MA,BOSTON,"$863,413.00 ",Turnaround,"325 MT VERNON ST
DORCHESTER, MA 2125
(42.3174, -71.0434)"
DEARBORN,ROXBURY,MA,BOSTON,"$420,721.00 ",Transformation,"35 GREENVILLE ST
ROXBURY, MA 2119
(42.3264, -71.0808)"
HARBOR SCHOOL,BOSTON,MA,BOSTON,"$586,623.00 ",Turnaround,"11 CHARLES ST
BOSTON, MA 2122
(42.3009, -71.062)"
JOHN P HOLLAND,DORCHESTER,MA,BOSTON,"$918,500.00 ",Transformation,"85 OLNEY ST
DORCHESTER, MA 2121
(42.2816, -71.08)"
BLACKSTONE,BOSTON,MA,BOSTON,"$743,593.00 ",Turnaround,"380 SHAWMUT AVE
BOSTON, MA 2118
(42.3407, -71.0725)"
M MARCUS KILEY MIDDLE,SPRINGFIELD,MA,SPRINGFIELD,"$767,986.00 ",Transformation,"180 COOLEY ST
SPRINGFIELD, MA 1128
(42.0984, -72.5008)"
WILLIAM MONROE TROTTER,DORCHESTER,MA,BOSTON,"$518,312.00 ",Turnaround,"135 HUMBOLDT AVE
DORCHESTER, MA 2121
(42.3158, -71.0876)"
JOHN F KENNEDY,JAMAICA PLAIN,MA,BOSTON,"$407,794.00 ",Transformation,"7 BOLSTER ST
JAMAICA PLAIN, MA 2130
(42.3218, -71.1064)"
THURGOOD MARSHALL MIDDLE SCHOOL,TEMPLE HILLS,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,"$773,922.00 ",Turnaround,"4909 BRINKLEY RD
TEMPLE HILLS, MD 20748
(38.802, -76.923)"
WILLIAM C. MARCH MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,"$956,457.00 ",Restart,"1919 NORTH BRDWAY ST
BALTIMORE, MD 21213
(39.3128, -76.5951)"
CHINQUAPIN MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,"$465,091.00 ",Restart,"900 WOODBOURNE AVE
BALTIMORE, MD 21212
(39.3546, -76.5999)"
BENJAMIN STODDERT MIDDLE,TEMPLE HILLS,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,"$773,922.00 ",Turnaround,"2501 OLSON ST
TEMPLE HILLS, MD 20748
(38.8303, -76.9482)"
AUGUSTA FELLS SAVAGE INSTITUTE OF VISUAL ARTS,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,"$128,848.00 ",Turnaround,"1500 HARLEM AVE
BALTIMORE, MD 21217
(39.2969, -76.6402)"
CALVERTON,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,"$177,759.00 ",Restart,"1100 WHITMORE AVE
BALTIMORE, MD 21216
(39.3003, -76.6584)"
G. JAMES GHOLSON MIDDLE,LANDOVER,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,"$831,888.00 ",Turnaround,"900 NALLEY RD
LANDOVER, MD 20785
(38.9034, -76.874)"
GARRISON MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,"$120,707.00 ",Restart,"3910 BARRINGTON RD
BALTIMORE, MD 21207
(39.3316, -76.6845)"
BOOKER T. WASHINGTON MIDDLE,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,"$928,355.00 ",Turnaround,"1301 MCCULLOH ST
BALTIMORE, MD 21217
(39.3026, -76.6278)"
DREW FREEMAN MIDDLE,SUITLAND,MD,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,"$773,922.00 ",Turnaround,"2600 BROOKS DR
SUITLAND, MD 20746
(38.8552, -76.9203)"
COMMODORE JOHN ROGERS ELEMENTARY,BALTIMORE,MD,BALTIMORE CITY PUBLIC SCHOOLS,"$102,706.00 ",Restart,"100 NORTH CHESTER ST
BALTIMORE, MD 21231
(39.2935, -76.5877)"
GOVERNOR JAMES B LONGLEY ELEM SCH,LEWISTON,ME,LEWISTON SCHOOL DEPARTMENT,,Turnaround,"145 BIRCH ST
LEWISTON, ME 4240
(44.0943, -70.2075)"
LAKE REGION HIGH SCHOOL,NAPLES,ME,MSAD 61,,Transformation,"1877 ROOSEVELT TRAIL
NAPLES, ME 4055
(43.9965, -70.6573)"
LIVERMORE FALLS HIGH SCHOOL,LIVERMORE FALLS,ME,MSAD 36,,Transformation,"25 CEDAR ST
LIVERMORE FALLS, ME 4254
(44.4697, -70.1824)"
SUMNER MEMORIAL HIGH SCHOOL,SULLIVAN,ME,FLANDERS BAY CSD,,Transformation,"2456 US HWY 1
SULLIVAN, ME 4664
(44.5202, -68.1972)"
RIVERTON SCHOOL,PORTLAND,ME,PORTLAND PUBLIC SCHOOLS,,Transformation,"1600 FOREST AVE
PORTLAND, ME 4101
(43.6972, -70.3075)"
CARRABEC HIGH SCHOOL,NORTH ANSON,ME,MSAD 74,,Transformation,"160 NORTH MAIN ST
NORTH ANSON, ME 4958
(44.8595, -69.8949)"
LESSENGER ELEMENTARY-MIDDLE SCHOOL,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,"$148,488.00 ",Turnaround,"8401 TRINITY ST
DETROIT, MI 48228
(42.3538, -83.2468)"
E.A. JOHNSON MEMORIAL H.S.,MOUNT MORRIS,MI,MT. MORRIS CONSOLIDATED SCHOOLS,"$679,699.00 ",Transformation,"8041 NEFF RD
MOUNT MORRIS, MI 48458
(43.1195, -83.7142)"
BUCHANAN HIGH SCHOOL,BUCHANAN,MI,BUCHANAN COMMUNITY SCHOOLS,"$121,632.00 ",Transformation,"401 WEST CHICAGO ST
BUCHANAN, MI 49107
(41.825, -86.3671)"
WESTWOOD MIDDLE SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,"$171,133.00 ",Turnaround,"1525 MOUNT MERCY DR NW
GRAND RAPIDS, MI 49504
(42.9734, -85.7065)"
ALGER MIDDLE SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,"$171,133.00 ",Turnaround,"921 ALGER ST SE
GRAND RAPIDS, MI 49507
(42.9201, -85.644)"
WALDRON MIDDLE SCHOOL,WALDRON,MI,WALDRON AREA SCHOOLS,"$273,500.00 ",Transformation,"13380 WALDRON RD
WALDRON, MI 49288
(41.7359, -84.419)"
WHITE ELEMENTARY SCHOOL,HAMTRAMCK,MI,DETROIT CITY SCHOOL DISTRICT,"$122,853.00 ",Transformation,"5161 CHARLES ST
HAMTRAMCK, MI 48212
(42.4117, -83.05)"
ARTHUR HILL HIGH SCHOOL,SAGINAW,MI,SAGINAW CITY SCHOOL DISTRICT,"$164,933.00 ",Transformation,"3115 MACKINAW ST
SAGINAW, MI 48602
(43.4301, -83.99)"
MT. CLEMENS HIGH SCHOOL,MOUNT CLEMENS,MI,MT. CLEMENS COMMUNITY SCHOOL DISTRICT,"$751,945.00 ",Transformation,"155 CASS AVE
MOUNT CLEMENS, MI 48043
(42.5958, -82.883)"
ADRIAN HIGH SCHOOL,ADRIAN,MI,ADRIAN CITY SCHOOL DISTRICT,"$948,838.00 ",Transformation,"785 RIVERSIDE AVE
ADRIAN, MI 49221
(41.9127, -84.0487)"
UNION HIGH SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,"$190,709.00 ",Transformation,"1800 TREMONT BLVD NW
GRAND RAPIDS, MI 49504
(42.975, -85.7123)"
LEE HIGH SCHOOL,WYOMING,MI,GODFREY-LEE PUBLIC SCHOOLS,"$894,861.00 ",Transformation,"1335 LEE ST SW
WYOMING, MI 49509
(42.931, -85.6998)"
LINCOLN HIGH SCHOOL,WARREN,MI,VAN DYKE PUBLIC SCHOOLS,"$416,177.00 ",Transformation,"22900 FEDERAL AVE
WARREN, MI 48089
(42.4614, -83.0205)"
SOUTHWESTERN HIGH SCHOOL,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,"$135,109.00 ",Turnaround,"6921 WEST FOROUTE ST
DETROIT, MI 48209
(42.3032, -83.109)"
ROMULUS MIDDLE SCHOOL,ROMULUS,MI,ROMULUS COMMUNITY SCHOOLS,"$199,852.00 ",Transformation,"37300 WICK RD
ROMULUS, MI 48174
(42.2376, -83.4049)"
FARWELL MIDDLE SCHOOL,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,"$602,552.00 ",Turnaround,"19955 FENELON ST
DETROIT, MI 48234
(42.4417, -83.0538)"
INKSTER HIGH SCHOOL,INKSTER,MI,SCHOOL DISTRICT OF THE CITY OF INKSTER,"$16,228.00 ",Turnaround,"3250 MIDDLEBELT RD
INKSTER, MI 48141
(42.2859, -83.3292)"
WESTON PREPARATORY ACADEMY,DETROIT,MI,WESTON PREPARATORY ACADEMY,"$704,180.00 ",Transformation,"22930 CHIPPEWA ST
DETROIT, MI 48219
(42.4386, -83.2708)"
OTTAWA HILLS HIGH SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,"$190,709.00 ",Transformation,"2055 ROSEWOOD AVE SE
GRAND RAPIDS, MI 49506
(42.926, -85.6264)"
FITZGERALD SENIOR HIGH SCHOOL,WARREN,MI,FITZGERALD PUBLIC SCHOOLS,"$447,461.00 ",Transformation,"23200 RYAN RD
WARREN, MI 48091
(42.4654, -83.0623)"
SPRINGPORT HIGH SCHOOL,SPRINGPORT,MI,SPRINGPORT PUBLIC SCHOOLS,"$774,100.00 ",Transformation,"300 WEST MAIN ST
SPRINGPORT, MI 49284
(42.3783, -84.7048)"
NOLAN ELEMENTARY SCHOOL,HIGHLAND PARK,MI,DETROIT CITY SCHOOL DISTRICT,"$121,554.00 ",Transformation,"1150 EAST LANTZ ST
HIGHLAND PARK, MI 48203
(42.4374, -83.0922)"
OAK PARK HIGH SCHOOL,OAK PARK,MI,OAK PARK CITY SCHOOL DISTRICT,"$196,658.00 ",Turnaround,"13701 OAK PARK BLVD
OAK PARK, MI 48237
(42.4645, -83.1848)"
BUENA VISTA HIGH SCHOOL,SAGINAW,MI,BUENA VISTA SCHOOL DISTRICT,"$815,637.00 ",Transformation,"3945 EAST HOLLAND RD
SAGINAW, MI 48601
(43.4146, -83.8812)"
GRANT HIGH SCHOOL,GRANT,MI,GRANT PUBLIC SCHOOL DISTRICT,"$552,326.00 ",Transformation,"331 EAST STATE RD
GRANT, MI 49327
(43.3365, -85.8046)"
GERALD R. FORD MIDDLE SCHOOL,GRAND RAPIDS,MI,GRAND RAPIDS PUBLIC SCHOOLS,"$144,344.00 ",Turnaround,"851 MADISON AVE SE
GRAND RAPIDS, MI 49507
(42.9474, -85.6591)"
PHOENIX ELEMENTARY,DETROIT,MI,DETROIT CITY SCHOOL DISTRICT,"$811,102.00 ",Turnaround,"7735 LN ST
DETROIT, MI 48209
(42.3073, -83.1219)"
THOMPSON MIDDLE SCHOOL,SAGINAW,MI,SAGINAW CITY SCHOOL DISTRICT,"$125,917.00 ",Transformation,"224 NORTH ELM ST
SAGINAW, MI 48602
(43.4161, -83.9827)"
WELLSTONE INTERNATIONAL HIGH,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,"$528,276.00 ",Transformation,"1006 WEST LAKE ST
MINNEAPOLIS, MN 55408
(44.9492, -93.2923)"
EDISON SENIOR HIGH,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,"$878,276.00 ",Turnaround,"700 22ND AVE NE
MINNEAPOLIS, MN 55418
(45.0094, -93.2517)"
CASS LAKE-BENA SECONDARY,CASS LAKE,MN,CASS LAKE-BENA PUBLIC SCHOOLS,"$529,518.00 ",Transformation,"15308 STATE 371 NW
CASS LAKE, MN 56633
(47.3574, -94.6203)"
MAXFIELD MAGNET ELEMENTARY,ST. PAUL,MN,ST. PAUL PUBLIC SCHOOL DISTRICT,"$600,000.00 ",Transformation,"380 NORTH VICTORIA ST
ST. PAUL, MN 55104
(44.9524, -93.135)"
NORTH VIEW IB WORLD SCHOOL,BROOKLYN PARK,MN,OSSEO PUBLIC SCHOOL DISTRICT,"$850,000.00 ",Transformation,"5869 69TH AVE NORTH
BROOKLYN PARK, MN 55429
(45.0783, -93.3539)"
BETHUNE ELEMENTARY,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,"$528,276.00 ",Transformation,"919 EMERSON AVE NORTH
MINNEAPOLIS, MN 55411
(44.9873, -93.2942)"
BROOKLYN CENTER SECONDARY,BROOKLYN CENTER,MN,BROOKLYN CENTER SCHOOL DISTRICT,"$700,000.00 ",Transformation,"6500 HUMBOLDT AVE NORTH
BROOKLYN CENTER, MN 55430
(45.0747, -93.2971)"
HUMBOLDT SENIOR HIGH,ST. PAUL,MN,ST. PAUL PUBLIC SCHOOL DISTRICT,"$850,000.00 ",Turnaround,"30 EAST BAKER ST
ST. PAUL, MN 55107
(44.9261, -93.0862)"
OGILVIE SECONDARY,OGILVIE,MN,OGILVIE PUBLIC SCHOOL DISTRICT,"$561,111.00 ",Transformation,"333 SCHOOL DR
OGILVIE, MN 56358
(45.8267, -93.425)"
BROADWAY ARTS & TECHNOLOGY,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,"$403,276.00 ",Transformation,"1250 WEST BRDWAY
MINNEAPOLIS, MN 55411
(44.9997, -93.2967)"
ISLE SECONDARY,ISLE,MN,ISLE PUBLIC SCHOOL DISTRICT,"$500,000.00 ",Transformation,"730 5TH AVE SOUTH
ISLE, MN 56342
(46.1338, -93.4734)"
BRAHAM AREA SECONDARY,BRAHAM,MN,BRAHAM PUBLIC SCHOOL DISTRICT,"$658,042.00 ",Transformation,"531 ELMHURST AVE SOUTH
BRAHAM, MN 55006
(45.7203, -93.1786)"
RED LAKE SENIOR HIGH,RED LAKE,MN,RED LAKE PUBLIC SCHOOL DISTRICT,"$561,543.00 ",Transformation,"HWY 1
RED LAKE, MN 56671
(47.8689, -95.0778)"
HMONG INTERNATIONAL ACADEMY,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,"$528,276.00 ",Transformation,"3333 PENN AVE NORTH
MINNEAPOLIS, MN 55412
(45.0156, -93.3083)"
LUCY LANEY @ CLEVELAND PARK ELEM.,MINNEAPOLIS,MN,MINNEAPOLIS PUBLIC SCHOOL DIST.,"$728,276.00 ",Turnaround,"3333 PENN AVE NORTH
MINNEAPOLIS, MN 55412
(45.0156, -93.3083)"
EAST CENTRAL SENIOR SECONDARY,FINLAYSON,MN,EAST CENTRAL SCHOOL DISTRICT,"$500,237.00 ",Transformation,"61085 STATE HWY 23
FINLAYSON, MN 55735
(46.1218, -92.8717)"
WAUBUN SECONDARY,WAUBUN,MN,WAUBUN PUBLIC SCHOOL DISTRICT,"$700,000.00 ",Transformation,"1013 3RD ST
WAUBUN, MN 56589
(47.1849, -95.939)"
NEW VISIONS CHARTER SCHOOL,MINNEAPOLIS,MN,NEW VISIONS CHARTER SCHOOL,"$556,636.00 ",Transformation,"1800 SECOND ST NE
MINNEAPOLIS, MN 55418
(45.0064, -93.2662)"
PONEMAH ELEMENTARY,PONEMAH,MN,RED LAKE PUBLIC SCHOOL DISTRICT,"$471,654.00 ",Transformation,"25039 ABINOJII DR
PONEMAH, MN 56666
(48.0322, -94.8344)"
NORMANDY MIDDLE,ST LOUIS,MO,NORMANDY,"$425,300.00 ",Transformation,"7855 NATURAL BRIDGE RD
ST LOUIS, MO 63121
(38.7074, -90.3077)"
COLUMBIA ELEM. COMM. ED. CTR.,ST LOUIS,MO,ST. LOUIS CITY,"$356,608.00 ",Turnaround,"3120 ST LOUIS AVE
ST LOUIS, MO 63106
(38.6537, -90.2189)"
CENTRAL HIGH,KANSAS CITY,MO,KANSAS CITY 33,"$806,900.00 ",Transformation,"3221 INDIANA
KANSAS CITY, MO 64128
(39.0669, -94.5435)"
